Fecha,Precipitacion_mm
2016-03-12,0
2016-03-13,0
2016-03-14,0
2016-03-15,0
2016-03-16,0
2016-03-17,0
2016-03-18,0
2016-03-19,0
2016-03-20,2.5326480865478516
2016-03-21,0
2016-03-22,3.6383676528930664
2016-03-23,0
2016-03-24,0
2016-03-25,0
2016-03-26,0
2016-03-27,0
2016-03-28,0
2016-03-29,0
2016-03-30,0
2016-03-31,0
2016-04-01,0
2016-04-02,0
2016-04-03,0
2016-04-04,0
2016-04-05,0
2016-04-06,0
2016-04-07,0
2016-04-08,0
2016-04-09,0
2016-04-10,3.4636311531066895
2016-04-11,0
2016-04-12,0
2016-04-13,0
2016-04-14,0
2016-04-15,0
2016-04-16,0
2016-04-17,2.708486557006836
2016-04-18,2.708486557006836
2016-04-19,4.062729835510254
2016-04-20,6.77121639251709
2016-04-21,1.2757298946380615
2016-04-22,2.551459789276123
2016-04-23,3.8271896839141846
2016-04-24,6.378650188446045
2016-04-25,2.551459789276123
2016-04-26,1.6321923732757568
2016-04-27,3.2643847465515137
2016-04-28,1.6321923732757568
2016-04-29,4.89657735824585
2016-04-30,1.6321923732757568
2016-05-01,4.362736701965332
2016-05-02,8.725473403930664
2016-05-03,8.725473403930664
2016-05-04,4.362736701965332
2016-05-05,0
2016-05-06,18.311622619628906
2016-05-07,18.311622619628906
2016-05-08,18.311622619628906
2016-05-09,0
2016-05-10,27.467435836791992
2016-05-11,0
2016-05-12,2.0882091522216797
2016-05-13,2.0882091522216797
2016-05-14,4.176418304443359
2016-05-15,6.264627933502197
2016-05-16,0
2016-05-17,16.308256149291992
2016-05-18,0
2016-05-19,16.308256149291992
2016-05-20,0
2016-05-21,0
2016-05-22,3.267796277999878
2016-05-23,6.535592555999756
2016-05-24,16.338979721069336
2016-05-25,3.267796277999878
2016-05-26,15.412015914916992
2016-05-27,5.137338161468506
2016-05-28,5.137338161468506
2016-05-29,15.412015914916992
2016-05-30,5.137338161468506
2016-05-31,5.137338161468506
2016-06-01,9.092662811279297
2016-06-02,13.638994216918945
2016-06-03,13.638994216918945
2016-06-04,4.546331405639648
2016-06-05,0
2016-06-06,6.830294132232666
2016-06-07,13.660588264465332
2016-06-08,0
